match_id,batting_team_id,bowling_team_id,batting_team_playing11,bowling_team_playing11,venue_id,first_innings_score
IPL2015_MAT_01,IPL_T20_MI,IPL_T20_KKR,PLY_0505|PLY_0141|PLY_0025|PLY_0256|PLY_0646|PLY_0350|PLY_0576|PLY_0039|PLY_0213|PLY_0876|PLY_0584|PLY_0320|PLY_0372|PLY_0008|PLY_0138|PLY_0443|PLY_0214|PLY_0429|PLY_0302|PLY_0418|PLY_0044|PLY_0323|PLY_0244|PLY_0887|PLY_0023|PLY_0664|PLY_0894,PLY_0200|PLY_0093|PLY_0269|PLY_0279|PLY_0439|PLY_0432|PLY_0902|PLY_0116|PLY_0561|PLY_0306|PLY_0390|PLY_0604|PLY_0602|PLY_0344|PLY_0691|PLY_0903|PLY_0904|PLY_0049|PLY_0547|PLY_0515|PLY_0501|PLY_0644|PLY_0610,IPL_VEN_07,168
IPL2015_MAT_02,IPL_T20_CSK,IPL_T20_DC,PLY_0334|PLY_0314|PLY_0883|PLY_0484|PLY_0527|PLY_0853|PLY_0189|PLY_0196|PLY_0191|PLY_0700|PLY_0366|PLY_0485|PLY_0375|PLY_0117|PLY_0507|PLY_0435|PLY_0080|PLY_0884|PLY_0230|PLY_0877|PLY_0608|PLY_0386|PLY_0464|PLY_0190|PLY_0053,PLY_0871|PLY_0362|PLY_0594|PLY_0405|PLY_0458|PLY_0130|PLY_0636|PLY_0228|PLY_0577|PLY_0295|PLY_0898|PLY_0694|PLY_0054|PLY_0045|PLY_0382|PLY_0037|PLY_0899|PLY_0542|PLY_0900|PLY_0352|PLY_0346|PLY_0535|PLY_0259|PLY_0258|PLY_0692,IPL_VEN_14,150
IPL2015_MAT_03,IPL_T20_RR,IPL_T20_PBKS,PLY_0553|PLY_0063|PLY_0472|PLY_0598|PLY_0100|PLY_0246|PLY_0164|PLY_0169|PLY_0662|PLY_0134|PLY_0294|PLY_0012|PLY_0028|PLY_0441|PLY_0177|PLY_0532|PLY_0597|PLY_0630|PLY_0098|PLY_0449|PLY_0466|PLY_0905|PLY_0906|PLY_0179,PLY_0201|PLY_0070|PLY_0431|PLY_0496|PLY_0901|PLY_0814|PLY_0105|PLY_0370|PLY_0291|PLY_0557|PLY_0204|PLY_0156|PLY_0414|PLY_0089|PLY_0624|PLY_0679|PLY_0530|PLY_0668|PLY_0567|PLY_0555|PLY_0396|PLY_0341,IPL_VEN_16,162
IPL2015_MAT_04,IPL_T20_CSK,IPL_T20_SRH,PLY_0334|PLY_0314|PLY_0883|PLY_0484|PLY_0527|PLY_0853|PLY_0189|PLY_0196|PLY_0191|PLY_0700|PLY_0366|PLY_0485|PLY_0375|PLY_0117|PLY_0507|PLY_0435|PLY_0080|PLY_0884|PLY_0230|PLY_0877|PLY_0608|PLY_0386|PLY_0464|PLY_0190|PLY_0053,PLY_0157|PLY_0081|PLY_0490|PLY_0112|PLY_0482|PLY_0637|PLY_0563|PLY_0389|PLY_0581|PLY_0447|PLY_0109|PLY_0830|PLY_0192|PLY_0403|PLY_0430|PLY_0299|PLY_0909|PLY_0280|PLY_0235|PLY_0292|PLY_0910|PLY_0143|PLY_0212|PLY_0288,IPL_VEN_14,209
IPL2015_MAT_05,IPL_T20_KKR,IPL_T20_RCB,PLY_0200|PLY_0093|PLY_0269|PLY_0279|PLY_0439|PLY_0432|PLY_0902|PLY_0116|PLY_0561|PLY_0306|PLY_0390|PLY_0604|PLY_0602|PLY_0344|PLY_0691|PLY_0903|PLY_0904|PLY_0049|PLY_0547|PLY_0515|PLY_0501|PLY_0644|PLY_0610,PLY_0666|PLY_0653|PLY_0538|PLY_0016|PLY_0592|PLY_0907|PLY_0908|PLY_0349|PLY_0693|PLY_0001|PLY_0083|PLY_0131|PLY_0229|PLY_0836|PLY_0176|PLY_0534|PLY_0412|PLY_0343|PLY_0222|PLY_0492|PLY_0151|PLY_0777|PLY_0374|PLY_0688|PLY_0158|PLY_0659,IPL_VEN_07,177
IPL2015_MAT_06,IPL_T20_DC,IPL_T20_RR,PLY_0871|PLY_0362|PLY_0594|PLY_0405|PLY_0458|PLY_0130|PLY_0636|PLY_0228|PLY_0577|PLY_0295|PLY_0898|PLY_0694|PLY_0054|PLY_0045|PLY_0382|PLY_0037|PLY_0899|PLY_0542|PLY_0900|PLY_0352|PLY_0346|PLY_0535|PLY_0259|PLY_0258|PLY_0692,PLY_0553|PLY_0063|PLY_0472|PLY_0598|PLY_0100|PLY_0246|PLY_0164|PLY_0169|PLY_0662|PLY_0134|PLY_0294|PLY_0012|PLY_0028|PLY_0441|PLY_0177|PLY_0532|PLY_0597|PLY_0630|PLY_0098|PLY_0449|PLY_0466|PLY_0905|PLY_0906|PLY_0179,IPL_VEN_02,184
IPL2015_MAT_07,IPL_T20_PBKS,IPL_T20_MI,PLY_0201|PLY_0070|PLY_0431|PLY_0496|PLY_0901|PLY_0814|PLY_0105|PLY_0370|PLY_0291|PLY_0557|PLY_0204|PLY_0156|PLY_0414|PLY_0089|PLY_0624|PLY_0679|PLY_0530|PLY_0668|PLY_0567|PLY_0555|PLY_0396|PLY_0341,PLY_0505|PLY_0141|PLY_0025|PLY_0256|PLY_0646|PLY_0350|PLY_0576|PLY_0039|PLY_0213|PLY_0876|PLY_0584|PLY_0320|PLY_0372|PLY_0008|PLY_0138|PLY_0443|PLY_0214|PLY_0429|PLY_0302|PLY_0418|PLY_0044|PLY_0323|PLY_0244|PLY_0887|PLY_0023|PLY_0664|PLY_0894,IPL_VEN_25,177
IPL2015_MAT_08,IPL_T20_RCB,IPL_T20_SRH,PLY_0666|PLY_0653|PLY_0538|PLY_0016|PLY_0592|PLY_0907|PLY_0908|PLY_0349|PLY_0693|PLY_0001|PLY_0083|PLY_0131|PLY_0229|PLY_0836|PLY_0176|PLY_0534|PLY_0412|PLY_0343|PLY_0222|PLY_0492|PLY_0151|PLY_0777|PLY_0374|PLY_0688|PLY_0158|PLY_0659,PLY_0157|PLY_0081|PLY_0490|PLY_0112|PLY_0482|PLY_0637|PLY_0563|PLY_0389|PLY_0581|PLY_0447|PLY_0109|PLY_0830|PLY_0192|PLY_0403|PLY_0430|PLY_0299|PLY_0909|PLY_0280|PLY_0235|PLY_0292|PLY_0910|PLY_0143|PLY_0212|PLY_0288,IPL_VEN_13,166
IPL2015_MAT_09,IPL_T20_MI,IPL_T20_RR,PLY_0505|PLY_0141|PLY_0025|PLY_0256|PLY_0646|PLY_0350|PLY_0576|PLY_0039|PLY_0213|PLY_0876|PLY_0584|PLY_0320|PLY_0372|PLY_0008|PLY_0138|PLY_0443|PLY_0214|PLY_0429|PLY_0302|PLY_0418|PLY_0044|PLY_0323|PLY_0244|PLY_0887|PLY_0023|PLY_0664|PLY_0894,PLY_0553|PLY_0063|PLY_0472|PLY_0598|PLY_0100|PLY_0246|PLY_0164|PLY_0169|PLY_0662|PLY_0134|PLY_0294|PLY_0012|PLY_0028|PLY_0441|PLY_0177|PLY_0532|PLY_0597|PLY_0630|PLY_0098|PLY_0449|PLY_0466|PLY_0905|PLY_0906|PLY_0179,IPL_VEN_17,164
IPL2015_MAT_10,IPL_T20_PBKS,IPL_T20_DC,PLY_0201|PLY_0070|PLY_0431|PLY_0496|PLY_0901|PLY_0814|PLY_0105|PLY_0370|PLY_0291|PLY_0557|PLY_0204|PLY_0156|PLY_0414|PLY_0089|PLY_0624|PLY_0679|PLY_0530|PLY_0668|PLY_0567|PLY_0555|PLY_0396|PLY_0341,PLY_0871|PLY_0362|PLY_0594|PLY_0405|PLY_0458|PLY_0130|PLY_0636|PLY_0228|PLY_0577|PLY_0295|PLY_0898|PLY_0694|PLY_0054|PLY_0045|PLY_0382|PLY_0037|PLY_0899|PLY_0542|PLY_0900|PLY_0352|PLY_0346|PLY_0535|PLY_0259|PLY_0258|PLY_0692,IPL_VEN_16,165
