player_id,player_name,season,bowling_type,innings,runs,balls_faced,strike_rate,batting_average,dismissals
PLY_0014,Abhishek Sharma,2018,Pace,2,26,14,185.71,26.0,0
PLY_0014,Abhishek Sharma,2018,Spin,1,1,1,100.0,1.0,0
PLY_0014,Abhishek Sharma,2019,Pace,1,5,3,166.67,5.0,0
PLY_0014,Abhishek Sharma,2020,Pace,4,20,15,133.33,20.0,1
PLY_0014,Abhishek Sharma,2020,Spin,2,19,17,111.76,19.0,0
PLY_0014,Abhishek Sharma,2021,Pace,4,9,14,64.29,9.0,0
PLY_0014,Abhishek Sharma,2021,Spin,4,16,13,123.08,16.0,1
PLY_0014,Abhishek Sharma,2022,Pace,8,73,61,119.67,24.33,3
PLY_0014,Abhishek Sharma,2022,Spin,5,89,44,202.27,89.0,1
PLY_0014,Abhishek Sharma,2023,Pace,6,53,36,147.22,26.5,2
PLY_0014,Abhishek Sharma,2023,Spin,6,49,34,144.12,9.8,5
PLY_0014,Abhishek Sharma,2024,Pace,8,62,39,158.97,15.5,4
PLY_0014,Abhishek Sharma,2024,Spin,6,98,40,245.0,49.0,2
PLY_0014,Abhishek Sharma,2025,Pace,7,67,50,134.0,33.5,2
PLY_0014,Abhishek Sharma,2025,Spin,3,57,15,380.0,57.0,1
PLY_0015,Abishek Porel,2023,Spin,3,2,6,33.33,2.0,1
PLY_0015,Abishek Porel,2024,Pace,8,87,58,150.0,87.0,1
PLY_0015,Abishek Porel,2024,Spin,6,47,33,142.42,47.0,1
PLY_0015,Abishek Porel,2025,Pace,8,100,56,178.57,50.0,2
PLY_0015,Abishek Porel,2025,Spin,3,28,20,140.0,14.0,2
PLY_0018,Adam Milne,2017,Spin,1,3,6,50.0,3.0,1
PLY_0018,Adam Milne,2021,Pace,1,2,4,50.0,2.0,1
PLY_0026,Aiden Markram,2021,Pace,5,31,21,147.62,31.0,0
PLY_0026,Aiden Markram,2021,Spin,2,17,16,106.25,17.0,1
PLY_0026,Aiden Markram,2022,Pace,6,31,22,140.91,31.0,0
PLY_0026,Aiden Markram,2022,Spin,8,67,59,113.56,67.0,0
PLY_0026,Aiden Markram,2023,Pace,3,16,9,177.78,16.0,0
PLY_0026,Aiden Markram,2023,Spin,8,56,50,112.0,28.0,2
PLY_0026,Aiden Markram,2024,Pace,6,20,22,90.91,10.0,2
PLY_0026,Aiden Markram,2024,Spin,7,44,46,95.65,44.0,1
PLY_0026,Aiden Markram,2025,Pace,7,97,62,156.45,32.33,3
