player_id,season,player_name,matches,innings,balls,overs,runs,wickets,bbi,average,economy,strike_rate,4w,5w
PLY_0005,2020,Abdul Samad,3,3,42,7.0,96,1,1-41,96.0,13.71,42.0,0,0
PLY_0005,2021,Abdul Samad,1,1,6,1.0,9,1,1-9,9.0,9.0,6.0,0,0
PLY_0005,2022,Abdul Samad,1,1,6,1.0,8,0,0-8,,8.0,,0,0
PLY_0005,2025,Abdul Samad,1,1,2,0.2,6,0,0-6,,18.0,,0,0
PLY_0014,2019,Abhishek Sharma,2,2,13,2.1,21,1,1-10,21.0,9.69,13.0,0,0
PLY_0014,2020,Abhishek Sharma,6,6,60,10.0,91,2,1-16,45.5,9.1,30.0,0,0
PLY_0014,2021,Abhishek Sharma,6,6,60,10.0,64,4,2-24,16.0,6.4,15.0,0,0
PLY_0014,2022,Abhishek Sharma,3,3,24,4.0,38,0,0-15,,9.5,,0,0
PLY_0014,2023,Abhishek Sharma,5,5,72,12.0,124,2,1-26,62.0,10.33,36.0,0,0
PLY_0014,2024,Abhishek Sharma,4,4,42,7.0,51,2,2-24,25.5,7.29,21.0,0,0
PLY_0014,2025,Abhishek Sharma,6,6,66,11.0,112,0,0-17,,10.18,,0,0
PLY_0015,2021,Abishek Porel,1,1,24,4.0,39,1,1-39,39.0,9.75,24.0,0,0
PLY_0018,2016,Adam Milne,1,1,24,4.0,43,1,1-43,43.0,10.75,24.0,0,0
PLY_0018,2017,Adam Milne,4,4,84,14.0,134,3,2-27,44.67,9.57,28.0,0,0
PLY_0018,2021,Adam Milne,4,4,85,14.1,131,3,2-21,43.67,9.25,28.33,0,0
PLY_0018,2022,Adam Milne,1,1,15,2.3,19,0,0-19,,7.6,,0,0
PLY_0020,2016,Adam Zampa,5,5,102,17.0,115,12,6-19,9.58,6.76,8.5,1,1
PLY_0020,2017,Adam Zampa,6,6,119,19.5,163,7,2-22,23.29,8.22,17.0,0,0
PLY_0020,2020,Adam Zampa,3,3,66,11.0,92,2,1-53,46.0,8.36,33.0,0,0
PLY_0020,2023,Adam Zampa,6,6,132,22.0,188,8,3-22,23.5,8.55,16.5,0,0
PLY_0020,2025,Adam Zampa,2,2,48,8.0,94,2,1-48,47.0,11.75,24.0,0,0
PLY_0021,2021,Adil Rashid,1,1,18,3.0,35,0,0-35,,11.67,,0,0
PLY_0021,2023,Adil Rashid,2,2,42,7.0,56,2,2-23,28.0,8.0,21.0,0,0
PLY_0026,2021,Aiden Markram,2,2,24,4.0,23,0,0-5,,5.75,,0,0
PLY_0026,2022,Aiden Markram,4,4,36,6.0,64,1,1-8,64.0,10.67,36.0,0,0
PLY_0026,2023,Aiden Markram,6,6,49,8.1,70,1,1-24,70.0,8.57,49.0,0,0
PLY_0026,2024,Aiden Markram,2,2,13,2.1,15,0,0-10,,6.92,,0,0
PLY_0026,2025,Aiden Markram,5,5,66,11.0,102,4,2-30,25.5,9.27,16.5,0,0
PLY_0031,2022,Akash Deep,5,5,115,19.1,205,5,3-45,41.0,10.7,23.0,0,0
PLY_0031,2023,Akash Deep,2,2,32,5.2,59,1,1-29,59.0,11.06,32.0,0,0
PLY_0031,2024,Akash Deep,1,1,21,3.3,55,1,1-55,55.0,15.71,21.0,0,0
PLY_0031,2025,Akash Deep,6,6,114,19.0,229,3,2-55,76.33,12.05,38.0,0,0
PLY_0032,2023,Akash Madhwal,8,8,158,26.2,219,14,5-5,15.64,8.32,11.29,2,1
PLY_0032,2024,Akash Madhwal,5,5,111,18.3,205,5,3-20,41.0,11.08,22.2,0,0
PLY_0032,2025,Akash Madhwal,4,4,90,15.0,166,4,3-29,41.5,11.07,22.5,0,0
PLY_0033,2023,Akeal Hosein,1,1,24,4.0,40,1,1-40,40.0,10.0,24.0,0,0
PLY_0034,2018,Akila Dananjaya,1,1,24,4.0,47,0,0-47,,11.75,,0,0
