player_id,player_name,player_role,runs_scored,balls_faced,fours,sixes,boundaries,batting_avg,batting_sr,dismissals,wickets_taken,overs_bowled,runs_conceded,bowling_avg,economy,form_level
PLY_0001,AB de Villiers,Batter,329,224,24,15,39,36.56,146.88,9,0.0,0.0,0.0,,0.0,Superb
PLY_0003,Aaron Finch,Batter,243,192,17,11,28,20.25,126.56,12,0.0,0.0,0.0,,0.0,Average
PLY_0004,Abdul Basith,Allrounder,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,Poor
PLY_0005,Abdul Samad,Batter,203,129,17,11,28,25.38,157.36,8,1.0,8.2,110.0,110.0,13.2,Excellent
PLY_0007,Abhijeet Tomar,Batter,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,Poor
PLY_0008,Abhimanyu Mithun,Bowler,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,Poor
PLY_0009,Abhinav Manohar,Allrounder,79,69,8,2,10,13.17,114.49,6,0.0,0.0,0.0,,0.0,Poor
PLY_0012,Abhishek Nayar,Allrounder,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,Poor
PLY_0014,Abhishek Sharma,Allrounder,450,242,41,31,72,40.91,185.95,11,3.0,11.0,92.0,30.67,8.36,Excellent
PLY_0015,Abishek Porel,Batter,184,135,19,6,25,18.4,136.3,10,0.0,0.0,0.0,,0.0,Average
PLY_0016,Abu Nechim,Bowler,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,Poor
PLY_0018,Adam Milne,Bowler,0,1,0,0,0,0.0,0.0,0,1.0,6.0,72.0,72.0,12.0,Poor
PLY_0020,Adam Zampa,Bowler,13,18,1,0,1,3.25,72.22,4,13.0,33.0,276.0,21.23,8.36,Excellent
PLY_0021,Adil Rashid,Bowler,22,16,2,1,3,11.0,137.5,2,2.0,7.0,56.0,28.0,8.0,Poor
PLY_0023,Aditya Tare,Batter,32,39,4,0,4,8.0,82.05,4,0.0,0.0,0.0,,0.0,Poor
PLY_0025,Aiden Blizzard,Batter,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,0.0,Poor
PLY_0026,Aiden Markram,Batter,345,238,36,10,46,34.5,144.96,10,2.0,13.0,122.0,61.0,9.38,Excellent
PLY_0028,Ajinkya Rahane,Batter,384,268,34,16,50,34.91,143.28,11,0.0,0.0,0.0,,0.0,Excellent
PLY_0031,Akash Deep,Bowler,19,13,2,1,3,6.33,146.15,3,6.0,32.0,370.0,61.67,11.56,Below Average
