player_id,player_name,from_team_id,to_team_id,season
PLY_0001,AB de Villiers,,IPL_T20_DC,2007
PLY_0001,AB de Villiers,IPL_T20_DC,IPL_T20_RCB,2011
PLY_0003,Aaron Finch,,IPL_T20_RR,2009
PLY_0003,Aaron Finch,IPL_T20_RR,IPL_T20_DC,2011
PLY_0003,Aaron Finch,IPL_T20_DC,IPL_T20_PW,2013
PLY_0003,Aaron Finch,IPL_T20_PW,IPL_T20_SRH,2014
PLY_0003,Aaron Finch,IPL_T20_SRH,IPL_T20_MI,2015
PLY_0003,Aaron Finch,IPL_T20_MI,IPL_T20_GL,2016
PLY_0003,Aaron Finch,IPL_T20_GL,IPL_T20_PBKS,2018
PLY_0003,Aaron Finch,IPL_T20_PBKS,IPL_T20_RCB,2020
PLY_0003,Aaron Finch,IPL_T20_RCB,IPL_T20_KKR,2022
PLY_0004,Abdul Basith,,IPL_T20_RR,2023
PLY_0005,Abdul Samad,,IPL_T20_SRH,2020
PLY_0005,Abdul Samad,IPL_T20_SRH,IPL_T20_LSG,2025
PLY_0007,Abhijeet Tomar,,IPL_T20_KKR,2022
PLY_0008,Abhimanyu Mithun,,IPL_T20_RCB,2009
PLY_0008,Abhimanyu Mithun,IPL_T20_RCB,IPL_T20_MI,2015
PLY_0008,Abhimanyu Mithun,IPL_T20_MI,IPL_T20_SRH,2016
PLY_0009,Abhinav Manohar,,IPL_T20_GT,2022
PLY_0009,Abhinav Manohar,IPL_T20_GT,IPL_T20_SRH,2025
PLY_0012,Abhishek Nayar,,IPL_T20_MI,2007
PLY_0012,Abhishek Nayar,IPL_T20_MI,IPL_T20_PBKS,2011
PLY_0012,Abhishek Nayar,IPL_T20_PBKS,IPL_T20_PW,2013
PLY_0012,Abhishek Nayar,IPL_T20_PW,IPL_T20_RR,2014
PLY_0014,Abhishek Sharma,,IPL_T20_DC,2018
PLY_0014,Abhishek Sharma,IPL_T20_DC,IPL_T20_SRH,2019
PLY_0015,Abishek Porel,,IPL_T20_DC,2023
PLY_0016,Abu Nechim,,IPL_T20_RCB,2015
PLY_0018,Adam Milne,,IPL_T20_RCB,2016
PLY_0018,Adam Milne,IPL_T20_RCB,IPL_T20_MI,2018
PLY_0018,Adam Milne,IPL_T20_MI,IPL_T20_CSK,2022
PLY_0018,Adam Milne,IPL_T20_CSK,IPL_T20_RR,2026
PLY_0020,Adam Zampa,,IPL_T20_RPS,2016
PLY_0020,Adam Zampa,IPL_T20_RPS,IPL_T20_RCB,2020
PLY_0020,Adam Zampa,IPL_T20_RCB,IPL_T20_RR,2023
PLY_0020,Adam Zampa,IPL_T20_RR,IPL_T20_SRH,2025
PLY_0021,Adil Rashid,,IPL_T20_PBKS,2021
PLY_0021,Adil Rashid,IPL_T20_PBKS,IPL_T20_SRH,2023
PLY_0023,Aditya Tare,,IPL_T20_MI,2009
PLY_0023,Aditya Tare,IPL_T20_MI,IPL_T20_SRH,2016
PLY_0023,Aditya Tare,IPL_T20_SRH,IPL_T20_DC,2017
PLY_0023,Aditya Tare,IPL_T20_DC,IPL_T20_MI,2018
PLY_0025,Aiden Blizzard,,IPL_T20_MI,2011
PLY_0026,Aiden Markram,,IPL_T20_PBKS,2021
PLY_0026,Aiden Markram,IPL_T20_PBKS,IPL_T20_SRH,2022
PLY_0026,Aiden Markram,IPL_T20_SRH,IPL_T20_LSG,2025
PLY_0028,Ajinkya Rahane,,IPL_T20_MI,2007
PLY_0028,Ajinkya Rahane,IPL_T20_MI,IPL_T20_RR,2011
PLY_0028,Ajinkya Rahane,IPL_T20_RR,IPL_T20_RPS,2016
PLY_0028,Ajinkya Rahane,IPL_T20_RPS,IPL_T20_RR,2018
PLY_0028,Ajinkya Rahane,IPL_T20_RR,IPL_T20_DC,2020
PLY_0028,Ajinkya Rahane,IPL_T20_DC,IPL_T20_KKR,2022
PLY_0028,Ajinkya Rahane,IPL_T20_KKR,IPL_T20_CSK,2023
PLY_0028,Ajinkya Rahane,IPL_T20_CSK,IPL_T20_KKR,2025
PLY_0031,Akash Deep,,IPL_T20_RCB,2021
PLY_0031,Akash Deep,IPL_T20_RCB,IPL_T20_LSG,2025
PLY_0032,Akash Madhwal,,IPL_T20_MI,2023
PLY_0032,Akash Madhwal,IPL_T20_MI,IPL_T20_RR,2025
PLY_0033,Akeal Hosein,,IPL_T20_SRH,2023
PLY_0033,Akeal Hosein,IPL_T20_SRH,IPL_T20_CSK,2026
PLY_0034,Akila Dananjaya,,IPL_T20_MI,2018
PLY_0036,Akshdeep Nath,,IPL_T20_GL,2016
PLY_0036,Akshdeep Nath,IPL_T20_GL,IPL_T20_PBKS,2018
PLY_0036,Akshdeep Nath,IPL_T20_PBKS,IPL_T20_RCB,2019
PLY_0037,Albie Morkel,,IPL_T20_DC,2015
PLY_0037,Albie Morkel,IPL_T20_DC,IPL_T20_RPS,2016
PLY_0038,Alex Carey,,IPL_T20_DC,2020
PLY_0039,Alex Hales,,IPL_T20_MI,2015
PLY_0039,Alex Hales,IPL_T20_MI,IPL_T20_SRH,2018
PLY_0042,Alzarri Joseph,,IPL_T20_MI,2019
PLY_0042,Alzarri Joseph,IPL_T20_MI,IPL_T20_GT,2022
PLY_0042,Alzarri Joseph,IPL_T20_GT,IPL_T20_RCB,2024
PLY_0043,Aman Khan,,IPL_T20_RR,2009
PLY_0043,Aman Khan,IPL_T20_RR,IPL_T20_PW,2011
PLY_0043,Aman Khan,IPL_T20_PW,IPL_T20_KKR,2022
PLY_0043,Aman Khan,IPL_T20_KKR,IPL_T20_DC,2023
PLY_0043,Aman Khan,IPL_T20_DC,IPL_T20_CSK,2026
PLY_0044,Ambati Rayudu,,IPL_T20_MI,2009
PLY_0044,Ambati Rayudu,IPL_T20_MI,IPL_T20_CSK,2018
PLY_0045,Amit Mishra,,IPL_T20_DC,2007
PLY_0045,Amit Mishra,IPL_T20_DC,IPL_T20_SRH,2011
PLY_0045,Amit Mishra,IPL_T20_SRH,IPL_T20_DC,2015
PLY_0045,Amit Mishra,IPL_T20_DC,IPL_T20_GL,2016
PLY_0045,Amit Mishra,IPL_T20_GL,IPL_T20_DC,2017
PLY_0045,Amit Mishra,IPL_T20_DC,IPL_T20_LSG,2023
PLY_0049,Andre Russell,,IPL_T20_DC,2012
PLY_0049,Andre Russell,IPL_T20_DC,IPL_T20_KKR,2014
PLY_0053,Andrew Tye,,IPL_T20_CSK,2015
PLY_0053,Andrew Tye,IPL_T20_CSK,IPL_T20_GL,2016
PLY_0053,Andrew Tye,IPL_T20_GL,IPL_T20_PBKS,2018
PLY_0053,Andrew Tye,IPL_T20_PBKS,IPL_T20_RR,2020
PLY_0053,Andrew Tye,IPL_T20_RR,IPL_T20_LSG,2022
