batter_id,batter_name,bowler_id,bowler_name,balls_faced,runs_scored,dismissals,strike_rate,4s,6s
PLY_0510,Ruturaj Gaikwad,PLY_0301,Khaleel Ahmed,27,16,1,59,1,0
PLY_0510,Ruturaj Gaikwad,PLY_0462,Rahul Chahar,37,40,1,108,2,1
PLY_0510,Ruturaj Gaikwad,PLY_0700,Matt Henry,18,25,0,139,2,0
PLY_0510,Ruturaj Gaikwad,PLY_0591,Spencer Johnson,7,11,1,157,1,1
PLY_0510,Ruturaj Gaikwad,PLY_0419,Noor Ahmad,12,14,1,117,1,0
PLY_0510,Ruturaj Gaikwad,PLY_0089,Axar Patel,40,58,1,145,2,4
PLY_0510,Ruturaj Gaikwad,PLY_0315,Kyle Jamieson,4,2,0,50,0,0
PLY_0510,Ruturaj Gaikwad,PLY_0306,Kuldeep Yadav,15,31,0,207,1,3
PLY_0510,Ruturaj Gaikwad,PLY_0393,Mukesh Kumar,1,1,0,100,0,0
PLY_0510,Ruturaj Gaikwad,PLY_0616,T Natarajan,28,35,3,125,4,0
PLY_0510,Ruturaj Gaikwad,PLY_0374,Mitchell Starc,14,12,1,86,2,0
PLY_0510,Ruturaj Gaikwad,PLY_0254,Jason Holder,5,12,1,240,1,1
PLY_0510,Ruturaj Gaikwad,PLY_0206,Glenn Phillips,3,2,0,67,0,0
PLY_0510,Ruturaj Gaikwad,PLY_0478,Rashid Khan,66,108,2,164,11,3
PLY_0510,Ruturaj Gaikwad,PLY_0466,Rahul Tewatia,17,31,1,182,2,2
PLY_0510,Ruturaj Gaikwad,PLY_0673,Washington Sundar,22,26,0,118,1,1
PLY_0510,Ruturaj Gaikwad,PLY_0075,Arshad Khan,13,22,0,169,2,2
PLY_0510,Ruturaj Gaikwad,PLY_0711,Kulwant Khejroliya,4,9,0,225,0,1
PLY_0510,Ruturaj Gaikwad,PLY_0383,Mohammed Siraj,47,63,1,134,11,0
PLY_0510,Ruturaj Gaikwad,PLY_0445,Prasidh Krishna,17,22,0,129,3,1
PLY_0510,Ruturaj Gaikwad,PLY_0282,Kagiso Rabada,40,46,2,115,5,1
PLY_0510,Ruturaj Gaikwad,PLY_0520,Sai Kishore,19,12,0,63,0,0
PLY_0510,Ruturaj Gaikwad,PLY_0235,Ishant Sharma,11,20,0,182,4,0
PLY_0510,Ruturaj Gaikwad,PLY_0120,Cameron Green,15,12,0,80,2,0
PLY_0510,Ruturaj Gaikwad,PLY_0604,Sunil Narine,49,63,1,129,3,3
PLY_0510,Ruturaj Gaikwad,PLY_0069,Anukul Roy,8,17,0,213,4,0
PLY_0510,Ruturaj Gaikwad,PLY_0651,Vaibhav Arora,20,27,0,135,4,0
PLY_0510,Ruturaj Gaikwad,PLY_0408,Navdeep Saini,8,14,0,175,2,0
PLY_0510,Ruturaj Gaikwad,PLY_0645,Umran Malik,23,40,0,174,4,2
PLY_0510,Ruturaj Gaikwad,PLY_0672,Wanindu Hasaranga,16,31,1,194,1,3
PLY_0510,Ruturaj Gaikwad,PLY_0541,Shahbaz Ahmed,16,20,2,125,3,0
PLY_0510,Ruturaj Gaikwad,PLY_0723,Akash Singh,17,33,0,194,5,1
PLY_0510,Ruturaj Gaikwad,PLY_0088,Avesh Khan,22,19,1,86,1,0
PLY_0510,Ruturaj Gaikwad,PLY_0066,Anrich Nortje,32,46,2,144,5,2
PLY_0510,Ruturaj Gaikwad,PLY_0214,Hardik Pandya,19,30,1,158,2,2
PLY_0510,Ruturaj Gaikwad,PLY_0678,Will Jacks,3,8,0,267,0,1
