player_id,player_role,opponent_team_id,matches,runs_scored,balls_faced,batting_average,batting_strike_rate,wickets_taken,overs_bowled,bowling_average,bowling_economy
PLY_0001,Batter,IPL_T20_CSK,11,194,148,19.4,131.08,,,,
PLY_0001,Batter,IPL_T20_DC,10,402,247,57.43,162.75,,,,
PLY_0001,Batter,IPL_T20_GL,4,233,126,233,184.92,,,,
PLY_0001,Batter,IPL_T20_KKR,12,378,200,42,189,,,,
PLY_0001,Batter,IPL_T20_MI,13,570,333,57,171.17,,,,
PLY_0001,Batter,IPL_T20_PBKS,13,474,294,52.67,161.22,,,,
PLY_0001,Batter,IPL_T20_RPS,4,116,87,29,133.33,,,,
PLY_0001,Batter,IPL_T20_RR,10,337,216,84.25,156.02,,,,
PLY_0001,Batter,IPL_T20_SRH,14,407,275,31.31,148,,,,
PLY_0003,Batter,IPL_T20_CSK,4,21,27,5.25,77.78,,,,
PLY_0003,Batter,IPL_T20_DC,6,119,88,19.83,135.23,,,,
PLY_0003,Batter,IPL_T20_KKR,8,203,139,33.83,146.04,,,,
PLY_0003,Batter,IPL_T20_LSG,1,14,14,14,100,,,,
PLY_0003,Batter,IPL_T20_MI,5,166,133,41.5,124.81,,,,
PLY_0003,Batter,IPL_T20_PBKS,6,137,114,22.83,120.18,,,,
PLY_0003,Batter,IPL_T20_RCB,6,158,117,26.33,135.04,,,,
PLY_0003,Batter,IPL_T20_RPS,3,96,61,48,157.38,,,,
PLY_0003,Batter,IPL_T20_RR,5,94,67,18.8,140.3,,,,
PLY_0003,Batter,IPL_T20_SRH,10,196,158,24.5,124.05,,,,
PLY_0004,Allrounder,IPL_T20_RCB,1,1,1,1,100,,,,
PLY_0005,Batter,IPL_T20_CSK,4,65,49,32.5,132.65,1,4,41,10.25
PLY_0005,Batter,IPL_T20_DC,6,116,81,23.2,143.21,,,,
PLY_0005,Batter,IPL_T20_GT,3,35,20,35,175,,,,
PLY_0005,Batter,IPL_T20_KKR,8,131,92,16.38,142.39,,,,
PLY_0005,Batter,IPL_T20_LSG,3,58,36,58,161.11,0,1,,8
PLY_0005,Batter,IPL_T20_MI,7,47,42,6.71,111.9,0,2,,13.5
PLY_0005,Batter,IPL_T20_PBKS,7,124,70,20.67,177.14,1,2.2,43,18.43
PLY_0005,Batter,IPL_T20_RCB,5,49,22,16.33,222.73,,,,
PLY_0005,Batter,IPL_T20_RR,6,93,64,31,145.31,,,,
PLY_0005,Batter,IPL_T20_SRH,2,25,14,25,178.57,,,,
PLY_0007,Batter,IPL_T20_LSG,1,4,8,4,50,,,,
PLY_0009,Allrounder,IPL_T20_CSK,1,12,12,12,100,,,,
PLY_0009,Allrounder,IPL_T20_DC,4,39,55,9.75,70.91,,,,
PLY_0009,Allrounder,IPL_T20_KKR,2,16,12,8,133.33,,,,
PLY_0009,Allrounder,IPL_T20_LSG,3,20,18,10,111.11,,,,
PLY_0009,Allrounder,IPL_T20_MI,3,87,61,29,142.62,,,,
PLY_0009,Allrounder,IPL_T20_RCB,1,12,11,12,109.09,,,,
PLY_0009,Allrounder,IPL_T20_RR,4,71,44,17.75,161.36,,,,
PLY_0009,Allrounder,IPL_T20_SRH,2,35,22,17.5,159.09,,,,
PLY_0014,Allrounder,IPL_T20_CSK,9,251,164,27.89,153.05,0,4,,5
PLY_0014,Allrounder,IPL_T20_DC,8,134,70,22.33,191.43,2,13,58,8.92
PLY_0014,Allrounder,IPL_T20_GT,6,233,156,38.83,149.36,0,2,,15.5
PLY_0014,Allrounder,IPL_T20_KKR,11,166,128,16.6,129.69,0,3,,12
PLY_0014,Allrounder,IPL_T20_LSG,5,160,70,40,228.57,1,5,62,12.4
PLY_0014,Allrounder,IPL_T20_MI,11,194,133,19.4,145.86,2,3,9.5,6.33
PLY_0014,Allrounder,IPL_T20_PBKS,7,314,160,52.33,196.25,3,6.1,16.67,8.11
PLY_0014,Allrounder,IPL_T20_RCB,10,231,135,25.67,171.11,1,9,77,8.56
PLY_0014,Allrounder,IPL_T20_RR,7,133,98,22.17,135.71,2,11,45,8.18
PLY_0015,Batter,IPL_T20_CSK,2,42,26,42,161.54,,,,
PLY_0015,Batter,IPL_T20_GT,4,83,46,20.75,180.43,,,,
PLY_0015,Batter,IPL_T20_KKR,3,22,22,7.33,100,,,,
PLY_0015,Batter,IPL_T20_LSG,3,109,71,36.33,153.52,,,,
PLY_0015,Batter,IPL_T20_MI,5,117,95,23.4,123.16,,,,
PLY_0015,Batter,IPL_T20_PBKS,1,32,10,32,320,,,,
PLY_0015,Batter,IPL_T20_RCB,4,42,29,10.5,144.83,,,,
PLY_0015,Batter,IPL_T20_RR,4,130,92,32.5,141.3,,,,
PLY_0015,Batter,IPL_T20_SRH,3,84,50,84,168,,,,
PLY_0018,Bowler,IPL_T20_CSK,1,15,15,15,100,2,4,10.5,5.25
PLY_0018,Bowler,IPL_T20_GL,1,,,,,1,4,43,10.75
PLY_0018,Bowler,IPL_T20_KKR,2,1,1,1,100,0,5.3,,8.73
PLY_0018,Bowler,IPL_T20_MI,1,0,1,0,0,0,2,,14.5
PLY_0018,Bowler,IPL_T20_RCB,1,0,1,0,0,1,4.1,48,11.52
PLY_0018,Bowler,IPL_T20_RPS,2,7,11,3.5,63.64,2,8,31,7.75
PLY_0018,Bowler,IPL_T20_SRH,2,,,,,1,7,76,10.86
PLY_0020,Bowler,IPL_T20_CSK,2,1,1,1,100,4,7,16.25,9.29
PLY_0020,Bowler,IPL_T20_DC,3,5,7,5,71.43,5,12,19,7.92
PLY_0020,Bowler,IPL_T20_GT,2,7,9,7,77.78,1,7,72,10.29
PLY_0020,Bowler,IPL_T20_KKR,1,,,,,0,1,,8
PLY_0020,Bowler,IPL_T20_LSG,1,,,,,1,4,46,11.5
PLY_0020,Bowler,IPL_T20_MI,4,,,,,4,12,30,10
PLY_0020,Bowler,IPL_T20_PBKS,3,,,,,4,11.5,20,6.76
PLY_0020,Bowler,IPL_T20_RCB,2,2,6,2,33.33,4,8,15,7.5
PLY_0020,Bowler,IPL_T20_RR,2,,,,,1,7,75,10.71
PLY_0020,Bowler,IPL_T20_SRH,2,0,1,0,0,7,8,4.43,3.88
PLY_0021,Bowler,IPL_T20_LSG,1,4,3,4,133.33,2,3,11.5,7.67
PLY_0021,Bowler,IPL_T20_RR,2,18,13,18,138.46,0,7,,9.71
PLY_0023,Batter,IPL_T20_KKR,1,7,7,7,100,,,,
PLY_0023,Batter,IPL_T20_MI,1,0,1,0,0,,,,
PLY_0023,Batter,IPL_T20_PBKS,2,7,11,3.5,63.64,,,,
PLY_0023,Batter,IPL_T20_RCB,1,18,17,18,105.88,,,,
