player_id,player_name,nationality,batting_style,bowling_style,role,is_overseas,current_team_id,photo_url
PLY_0510,Ruturaj Gaikwad,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Ruturaj%20Gaikwad.png
PLY_0168,Dewald Brevis,Overseas,Right-hand,Right-arm off-spin,Batter,1,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Dewald%20Brevis.png
PLY_0334,MS Dhoni,India,Right-hand,Right-arm medium,Wicketkeeper,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/MS%20Dhoni.png
PLY_0695,Kartik Sharma,India,Right-hand,,Wicketkeeper,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Kartik%20Sharma.png
PLY_0534,Sarfaraz Khan,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Sarfaraz%20Khan.png
PLY_0091,Ayush Mhatre,India,Right-hand,,Batter,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Ayush%20Mhatre.png
PLY_0647,Urvil Patel,India,Right-hand,,Wicketkeeper,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Urvil%20Patel.png
PLY_0532,Sanju Samson,India,Right-hand,,Wicketkeeper,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Sanju%20Samson.png
PLY_0043,Aman Khan,India,Right-hand,Right-arm off-spin,Allrounder,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Aman%20Khan.png
PLY_0565,Shivam Dube,India,Left-hand,Right-arm medium,Allrounder,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Shivam%20Dube.png
PLY_0696,Zak Foulkes,Overseas,Right-hand,Right-arm fast,Allrounder,1,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Zak%20Foulkes.png
PLY_0697,Ramakrishna Ghosh,India,Right-hand,Right-arm off-spin,Allrounder,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Ramakrishna%20Ghosh.png
PLY_0067,Anshul Kamboj,India,Right-hand,Right-arm fast,Allrounder,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Anshul%20Kamboj.png
PLY_0251,Jamie Overton,Overseas,Right-hand,Right-arm fast,Allrounder,1,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Jamie%20Overton.png
PLY_0360,Matthew Short,Overseas,Right-hand,Right-arm off-spin,Allrounder,1,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Matthew%20Short.png
PLY_0698,Prashant Veer,India,Right-hand,Right-arm fast,Allrounder,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Prashant%20Veer.png
PLY_0301,Khaleel Ahmed,India,Left-hand,Left-arm fast,Bowler,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Khaleel%20Ahmed.png
PLY_0462,Rahul Chahar,India,Right-hand,Right-arm leg-spin,Bowler,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Rahul%20Chahar.png
PLY_0576,Shreyas Gopal,India,Right-hand,Right-arm leg-spin,Bowler,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Shreyas%20Gopal.png
PLY_0699,Gurjapneet Singh,India,Right-hand,Left-arm fast,Bowler,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Gurjapneet%20Singh.png
PLY_0700,Matt Henry,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Matt%20Henry.png
PLY_0033,Akeal Hosein,Overseas,Left-hand,Left-arm off-spin,Bowler,1,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Akeal%20Hosein.png
PLY_0591,Spencer Johnson,Overseas,Left-hand,Left-arm fast,Bowler,1,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Spencer%20Johnson.png
PLY_0392,Mukesh Choudhary,India,Left-hand,Left-arm fast,Bowler,0,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Mukesh%20Choudhary.png
PLY_0419,Noor Ahmad,Overseas,Right-hand,Left-arm leg-spin,Bowler,1,IPL_T20_CSK,https://scores.iplt20.com/ipl/playerimages/Noor%20Ahmad.png
PLY_0015,Abishek Porel,India,Left-hand,,Wicketkeeper,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Abishek%20Porel.png
PLY_0156,David Miller,Overseas,Left-hand,Right-arm medium,Batter,1,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/David%20Miller.png
PLY_0294,Karun Nair,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Karun%20Nair.png
PLY_0701,Pathum Nissanka,Overseas,Right-hand,Right-arm off-spin,Batter,1,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Pathum%20Nissanka.png
PLY_0702,Sahil Parekh,India,Right-hand,,Batter,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Sahil%20Parekh.png
PLY_0280,KL Rahul,India,Right-hand,,Wicketkeeper,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/KL%20Rahul.png
PLY_0418,Nitish Rana,India,Left-hand,Right-arm off-spin,Batter,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Nitish%20Rana.png
PLY_0454,Prithvi Shaw,India,Right-hand,,Batter,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Prithvi%20Shaw.png
PLY_0638,Tristan Stubbs,Overseas,Right-hand,,Wicketkeeper,1,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Tristan%20Stubbs.png
PLY_0089,Axar Patel,India,Left-hand,Left-arm off-spin,Allrounder,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Axar%20Patel.png
PLY_0703,Ajay Mandal,India,Right-hand,Right-arm off-spin,Allrounder,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Ajay%20Mandal.png
PLY_0525,Sameer Rizvi,India,Right-hand,Right-arm off-spin,Allrounder,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Sameer%20Rizvi.png
PLY_0086,Ashutosh Sharma,India,Right-hand,Right-arm off-spin,Allrounder,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Ashutosh%20Sharma.png
PLY_0335,Madhav Tiwari,India,Right-hand,Right-arm fast,Allrounder,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Madhav%20Tiwari.png
PLY_0704,Auqib Nabi,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Auqib%20Nabi.png
PLY_0186,Dushmantha Chameera,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Dushmantha%20Chameera.png
PLY_0315,Kyle Jamieson,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_DC,https://scores.iplt20.com/ipl/playerimages/Kyle%20Jamieson.png
