season,team_id,player_id,player_name,role_in_squad,is_overseas
2026,IPL_T20_CSK,PLY_0510,Ruturaj Gaikwad,Batter,0
2026,IPL_T20_CSK,PLY_0168,Dewald Brevis,Batter,1
2026,IPL_T20_CSK,PLY_0334,MS Dhoni,Wicketkeeper,0
2026,IPL_T20_CSK,PLY_0695,Kartik Sharma,Wicketkeeper,0
2026,IPL_T20_CSK,PLY_0534,Sarfaraz Khan,Batter,0
2026,IPL_T20_CSK,PLY_0091,Ayush Mhatre,Batter,0
2026,IPL_T20_CSK,PLY_0647,Urvil Patel,Wicketkeeper,0
2026,IPL_T20_CSK,PLY_0532,Sanju Samson,Wicketkeeper,0
2026,IPL_T20_CSK,PLY_0043,Aman Khan,Allrounder,0
2026,IPL_T20_CSK,PLY_0565,Shivam Dube,Allrounder,0
2026,IPL_T20_CSK,PLY_0696,Zak Foulkes,Allrounder,1
2026,IPL_T20_CSK,PLY_0697,Ramakrishna Ghosh,Allrounder,0
2026,IPL_T20_CSK,PLY_0067,Anshul Kamboj,Allrounder,0
2026,IPL_T20_CSK,PLY_0251,Jamie Overton,Allrounder,1
2026,IPL_T20_CSK,PLY_0360,Matthew Short,Allrounder,1
2026,IPL_T20_CSK,PLY_0698,Prashant Veer,Allrounder,0
2026,IPL_T20_CSK,PLY_0301,Khaleel Ahmed,Bowler,0
2026,IPL_T20_CSK,PLY_0462,Rahul Chahar,Bowler,0
2026,IPL_T20_CSK,PLY_0576,Shreyas Gopal,Bowler,0
2026,IPL_T20_CSK,PLY_0699,Gurjapneet Singh,Bowler,0
2026,IPL_T20_CSK,PLY_0700,Matt Henry,Bowler,1
2026,IPL_T20_CSK,PLY_0033,Akeal Hosein,Bowler,1
2026,IPL_T20_CSK,PLY_0591,Spencer Johnson,Bowler,1
2026,IPL_T20_CSK,PLY_0392,Mukesh Choudhary,Bowler,0
2026,IPL_T20_CSK,PLY_0419,Noor Ahmad,Bowler,1
2026,IPL_T20_DC,PLY_0015,Abishek Porel,Wicketkeeper,0
2026,IPL_T20_DC,PLY_0156,David Miller,Batter,1
2026,IPL_T20_DC,PLY_0294,Karun Nair,Batter,0
2026,IPL_T20_DC,PLY_0701,Pathum Nissanka,Batter,1
2026,IPL_T20_DC,PLY_0702,Sahil Parekh,Batter,0
2026,IPL_T20_DC,PLY_0280,KL Rahul,Wicketkeeper,0
2026,IPL_T20_DC,PLY_0418,Nitish Rana,Batter,0
2026,IPL_T20_DC,PLY_0454,Prithvi Shaw,Batter,0
2026,IPL_T20_DC,PLY_0638,Tristan Stubbs,Wicketkeeper,1
2026,IPL_T20_DC,PLY_0089,Axar Patel,Allrounder,0
2026,IPL_T20_DC,PLY_0703,Ajay Mandal,Allrounder,0
2026,IPL_T20_DC,PLY_0525,Sameer Rizvi,Allrounder,0
2026,IPL_T20_DC,PLY_0086,Ashutosh Sharma,Allrounder,0
2026,IPL_T20_DC,PLY_0335,Madhav Tiwari,Allrounder,0
2026,IPL_T20_DC,PLY_0704,Auqib Nabi,Bowler,0
2026,IPL_T20_DC,PLY_0186,Dushmantha Chameera,Bowler,1
2026,IPL_T20_DC,PLY_0315,Kyle Jamieson,Bowler,1
2026,IPL_T20_DC,PLY_0306,Kuldeep Yadav,Bowler,0
2026,IPL_T20_DC,PLY_0393,Mukesh Kumar,Bowler,0
2026,IPL_T20_DC,PLY_0616,T Natarajan,Bowler,0
2026,IPL_T20_DC,PLY_0705,Lungi Ngidi,Bowler,1
2026,IPL_T20_DC,PLY_0665,Vipraj Nigam,Bowler,0
2026,IPL_T20_DC,PLY_0706,,Bowler,0
2026,IPL_T20_DC,PLY_0374,Mitchell Starc,Bowler,1
2026,IPL_T20_DC,PLY_0707,Tripurana Vijay,Bowler,0
2026,IPL_T20_GT,PLY_0580,Shubman Gill,Batter,0
2026,IPL_T20_GT,PLY_0068,Anuj Rawat,Wicketkeeper,0
2026,IPL_T20_GT,PLY_0632,Tom Banton,Wicketkeeper,1
2026,IPL_T20_GT,PLY_0272,Jos Buttler,Wicketkeeper,1
2026,IPL_T20_GT,PLY_0309,Kumar Kushagra,Wicketkeeper,0
2026,IPL_T20_GT,PLY_0521,Sai Sudharsan,Batter,0
2026,IPL_T20_GT,PLY_0544,Shahrukh Khan,Batter,0
2026,IPL_T20_GT,PLY_0254,Jason Holder,Allrounder,1
2026,IPL_T20_GT,PLY_0206,Glenn Phillips,Allrounder,1
2026,IPL_T20_GT,PLY_0478,Rashid Khan,Allrounder,1
2026,IPL_T20_GT,PLY_0708,Nishant Sindhu,Allrounder,0
2026,IPL_T20_GT,PLY_0342,Manav Suthar,Allrounder,0
